scenario C R J de_prop de_facLoc
1 4 4 200 0.2 1.1
2 4 4 200 0.2 1.1
3 4 4 200 0.2 1.1
4 4 4 200 0.2 1.1
1 4 4 200 0.2 0.5
1 4 4 200 0.2 0.7
1 4 4 200 0.2 1.4
2 4 4 200 0.2 0.5
2 4 4 200 0.2 0.7
2 4 4 200 0.2 1.4
3 4 4 200 0.2 0.5
3 4 4 200 0.2 0.7
3 4 4 200 0.2 1.4
4 4 4 200 0.2 0.5
4 4 4 200 0.2 0.7
4 4 4 200 0.2 1.4
1 4 4 500 0.2 1.1
1 4 4 800 0.2 1.1
1 4 4 1000 0.2 1.1
2 4 4 500 0.2 1.1
2 4 4 800 0.2 1.1
2 4 4 1000 0.2 1.1
3 4 4 500 0.2 1.1
3 4 4 800 0.2 1.1
3 4 4 1000 0.2 1.1
4 4 4 500 0.2 1.1
4 4 4 800 0.2 1.1
4 4 4 1000 0.2 1.1
1 4 4 200 0.1 1.1
1 4 4 200 0.3 1.1
2 4 4 200 0.1 1.1
2 4 4 200 0.3 1.1
3 4 4 200 0.1 1.1
3 4 4 200 0.3 1.1
4 4 4 200 0.1 1.1
4 4 4 200 0.3 1.1
